Visible	Hidden
C	0
C	1
C	2
C	2
C	2
C	2
C	2
C	2
C	2
C	2
C	2
C	2
B	2
B	2
B	2
B	2
B	1
B	2
B	2
B	2
B	2
B	1
A	1
A	1
A	0
C	2
C	1
A	2
A	0
A	2
A	0
A	1
B	2
B	1
B	2
C	0
C	2
C	0
C	2
C	2
C	0
C	2
C	2
A	2
A	0
A	0
A	1
A	0
A	1
A	2
A	2
B	2
B	2
B	0
B	2
B	2
B	2
B	1
D	2
D	0
D	1
A	0
A	0
A	2
A	1
B	2
B	1
A	1
A	1
A	0
D	2
D	0
D	0
D	1
D	1
D	2
D	0
D	1
A	2
A	0
A	1
A	0
A	2
A	1
A	0
A	0
A	2
A	0
A	1
A	0
A	2
A	1
A	2
A	1
B	1
B	2
B	1
B	2
B	2
B	2
B	1
A	2
D	1
D	2
D	1
D	1
D	1
D	2
D	2
D	1
D	2
B	2
B	1
B	2
B	2
B	2
B	2
B	2
B	2
A	2
A	0
D	0
D	0
D	1
D	1
D	1
D	2
A	1
A	0
A	1
A	0
A	1
A	0
A	1
C	2
C	0
C	2
C	2
C	1
C	0
C	0
C	1
C	1
C	2
A	2
A	0
A	2
A	0
A	0
B	0
B	2
B	2
B	2
C	2
C	2
C	1
C	2
C	2
C	2
C	2
C	2
B	1
B	2
B	1
B	2
B	1
B	2
B	0
B	2
B	2
B	2
B	2
B	2
B	2
D	2
D	2
D	0
D	2
D	1
D	2
D	1
B	1
B	1
B	2
B	2
B	2
B	2
B	2
B	2
B	2
B	0
B	2
B	2
B	2
B	2
B	2
B	1
C	2
C	1
C	2
C	1
C	2
C	0
C	2
C	0
A	1
A	2
A	0
A	1
A	0
A	1
B	1
B	2
B	2
D	2
D	2
D	2
D	2
D	2
D	2
D	2
D	1
A	0
A	0
A	1
A	2
A	1
A	0
A	2
A	2
A	1
A	2
A	2
A	2
A	1
A	0
A	1
A	2
A	2
A	2
A	1
A	0
B	1
C	0
C	2
C	2
C	1
C	2
C	2
C	2
C	1
A	2
A	2
B	2
B	2
B	0
B	2
D	0
D	1
D	1
D	2
D	0
D	0
D	2
A	2
A	2
A	1
A	1
A	0
A	0
A	1
A	2
D	1
D	2
D	1
D	0
D	2
D	0
D	2
D	2
A	0
A	0
A	0
A	1
A	0
A	1
A	1
A	1
A	2
A	2
A	0
A	1
A	2
A	2
C	2
C	0
C	1
C	1
C	2
C	2
C	0
C	1
C	2
C	2
B	2
B	2
B	2
B	2
B	0
B	1
B	2
B	2
B	0
B	2
B	0
B	2
D	2
D	2
D	1
D	2
D	2
D	2
D	1
D	1
D	1
A	1
A	2
A	0
A	0
A	0
A	2
A	2
A	1
A	1
C	2
C	1
C	0
C	2
C	1
C	1
C	1
C	0
A	1
A	2
A	1
A	2
A	1
A	2
A	2
A	2
A	0
A	2
A	0
A	0
B	2
B	2
B	2
B	2
B	2
B	2
D	1
D	0
D	1
D	1
D	1
D	2
D	1
D	2
D	2
B	2
B	2
B	2
B	1
B	1
B	2
B	2
B	2
B	2
B	2
B	2
D	0
D	1
D	2
D	0
D	1
D	2
D	1
B	2
B	0
B	2
B	1
B	0
B	2
B	2
B	0
B	2
B	2
B	0
B	2
B	2
C	2
C	2
C	0
C	2
C	2
C	2
C	1
C	2
C	0
C	2
C	1
C	2
C	2
B	2
B	1
B	2
B	2
B	2
B	0
B	0
B	2
B	1
B	2
B	2
B	2
B	2
B	2
C	2
C	2
C	1
C	2
C	2
B	2
B	0
B	2
B	2
B	1
B	2
B	2
B	2
B	2
C	1
C	2
C	0
C	2
C	1
C	2
A	2
A	0
A	1
A	0
A	1
B	2
B	1
B	0
B	2
B	2
B	2
A	1
A	0
A	1
D	0
D	2
D	1
D	2
D	2
D	2
D	0
B	2
B	1
B	2
A	2
A	0
A	1
A	2
A	0
A	0
A	1
A	0
A	1
A	1
A	1
A	2
A	1
A	0
A	1
A	2
A	1
D	2
D	2
D	0
D	0
D	0
D	2
D	1
D	1
A	2
B	2
A	1
A	2
